2018-11-07 09:55:27 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:27 [main] INFO  main.status:217 | 20100456495-01-F001-40625
2018-11-07 09:55:27 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:27 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:27 [main] INFO  main.status:217 | 20100456495-01-F001-40621
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40620
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40619
2018-11-07 09:55:28 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40618
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40617
2018-11-07 09:55:28 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40616
2018-11-07 09:55:28 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40615
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40614
2018-11-07 09:55:28 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:28 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:28 [main] INFO  main.status:217 | 20100456495-01-F001-40613
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40611
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40612
2018-11-07 09:55:29 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40608
2018-11-07 09:55:29 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40609
2018-11-07 09:55:29 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40607
2018-11-07 09:55:29 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40610
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40606
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40605
2018-11-07 09:55:29 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:29 [main] INFO  main.status:217 | 20100456495-01-F001-40604
2018-11-07 09:55:30 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40603
2018-11-07 09:55:30 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40602
2018-11-07 09:55:30 [main] INFO  main.status:89 | java.lang.NullPointerException
2018-11-07 09:55:30 [main] INFO  main.status:150 | ---CONEXION A ODIN EXITOSA---
2018-11-07 09:55:30 [main] INFO  main.status:217 | 20100456495-01-F001-40601
